amount,date,description,category
49.08,2024-03-29,Parking fee,Bills
492.63,2024-03-19,Night out,Travel
398.64,2024-03-05,Taxi ride,Bills
423.22,2024-03-09,Snacks,Bills
367.94,2024-02-28,Fast food,Food
407.75,2024-02-25,Hiking gear,Food
400.1,2024-02-11,Car rental,Travel
58.18,2024-03-20,Subscription,Entertainment
38.07,2024-03-28,Lunch,Health
341.16,2024-03-22,Book,Travel
157.72,2024-03-14,Snacks,Bills
486.69,2024-03-18,Hotel booking,Health
266.78,2024-01-29,Museum ticket,Transport
405.57,2024-02-29,Lunch,Entertainment
305.62,2024-03-08,Night out,Health
46.13,2024-01-19,Parking fee,Transport
73.04,2024-03-06,Groceries,Shopping
451.82,2024-03-18,Coffee,Transport
191.96,2024-01-31,Doctor visit,Miscellaneous
175.39,2024-03-06,Book,Bills
446.26,2024-02-29,Night out,Food
472.25,2024-03-24,Gadget,Shopping
187.72,2024-03-25,Snacks,Transport
167.5,2024-01-03,Gadget,Travel
186.32,2024-02-24,Weekend trip,Bills
81.8,2024-03-08,Book,Miscellaneous
187.29,2024-02-18,Massage,Health
15.96,2024-03-11,Weekend trip,Entertainment
445.11,2024-03-02,Lunch,Shopping
126.44,2024-01-11,Medical checkup,Bills
150.32,2024-02-26,Gasoline,Food
109.16,2024-01-01,Fast food,Food
361.21,2024-02-06,Pet food,Food
296.06,2024-03-01,Hotel booking,Health
308.61,2024-01-02,Ice cream,Miscellaneous
299.06,2024-02-28,Home decor,Bills
481.71,2024-01-29,Taxi ride,Travel
463.42,2024-02-12,Coffee,Bills
276.35,2024-03-25,Snacks,Shopping
388.7,2024-01-10,Software license,Entertainment
297.0,2024-02-08,Weekend trip,Health
88.9,2024-01-10,Theater ticket,Entertainment
182.96,2024-02-02,Home decor,Travel
41.76,2024-01-02,Gym membership,Travel
90.07,2024-01-10,Gadget,Miscellaneous
121.3,2024-02-21,Public transport,Bills
236.1,2024-03-31,Massage,Shopping
310.6,2024-02-13,Jacket,Miscellaneous
246.73,2024-03-03,Subscription,Food
20.62,2024-02-15,Haircut,Bills
